UserKey_4Map,yearmonth,Country,SalesRep_Code,salesrepemployeeid_z,Sales_MTD,Target_MTD,Sales_QTD,Target_QTD,Balance_MTD,Balance_QTD,%Achievement_MTD,%Achievement_QTD
BN_MR_B101,2024-08-01,BN,BNGSK2,cfyong,7626.0,227666.91670000003,95416.40000000001,488214.03750000003,220040.91670000003,392797.6375,0.03349630289080995,0.19543968970781592
BN_MR_B102,2024-08-01,BN,BNGSK1,jjlee,18810.4,215798.2945,315060.9,465118.61340000003,196987.8945,150057.7134,0.08716658323729247,0.6773775353708517
BN_MR_B201,2024-08-01,BN,BNLIL1,sharon.sim,4760.0,312297.77930000005,181237.24,458829.96810000006,307537.77930000005,277592.72810000007,0.01524186310472429,0.3949986979937197
BN_MR_B301,2024-08-01,BN,BNABB1,jkkhoo,24600.0,165500.6016,142040.97999999998,331001.2032,140900.6016,188960.2232,0.14863994307075679,0.4291252679047663
ID_MR_MRBADC01,2024-08-01,ID,MRBADC01,ppomdi,325038595.0,551253228.0,541698548.0,1095956216.0,226214633.0,554257668.0,0.5896357218247437,0.4942702455551381
ID_MR_MRBADC02,2024-08-01,ID,MRBADC02,msihombing,45375305.0,315198114.0,326229578.0,626891231.0,269822809.0,300661653.0,0.1439580472870469,0.5203926325139488
ID_MR_MRBARE01,2024-08-01,ID,MRBARE01,jmuhaini,93722517.0,363861498.0,481620006.0,726651582.0,270138981.0,245031576.0,0.25757745052761805,0.6627935835141414
ID_MR_MRBAVM01,2024-08-01,ID,MRBAVM01,dmulyana,24619129.0,216124429.0,232347197.0,426190138.0,191505300.0,193842941.0,0.11391182900476281,0.5451726266833513
ID_MR_MRBDAB01,2024-08-01,ID,MRBDAB01,ajuwita,111205921.0,446173032.0,579080279.0,898256488.0,334967111.0,319176209.0,0.24924393234058126,0.6446714126043697
ID_MR_MRBDCM1XX,2024-08-01,ID,MRBDCM1XX,,9764383.0,716364068.0,830725508.0,1384258660.0,706599685.0,553533152.0,0.013630475670368214,0.6001230348091158
ID_MR_MRBDCN01,2024-08-01,ID,MRBDCN01,rfirmansyah,44278853.0,191910790.0,187025289.0,358684181.0,147631937.0,171658892.0,0.23072622961950184,0.5214205111543517
ID_MR_MRBDCN02,2024-08-01,ID,MRBDCN02,amulyadi,30056758.0,193337089.0,144417794.0,362375184.0,163280331.0,217957390.0,0.1554629696529671,0.39853113672375534
ID_MR_MRBDCN03,2024-08-01,ID,MRBDCN03,anpermana,14198565.0,158819181.0,94891291.0,297718252.0,144620616.0,202826961.0,0.08940081991733731,0.31872849703551265
ID_MR_MRBDCRX1,2024-08-01,ID,MRBDCRX1,,0.0,847201215.0,39132620.0,1687155806.0,847201215.0,1648023186.0,0.0,0.02319443163508279
ID_MR_MRBDCV01,2024-08-01,ID,MRBDCV01,ftadhytama,110761357.8,324211386.0,506236612.0000001,648422772.0,213450028.2,142186159.99999988,0.34163315226689783,0.7807199775519298
ID_MR_MRBDCV02,2024-08-01,ID,MRBDCV02,kkusnadi,238321661.6,561886488.0,904414316.6,1123772976.0,323564826.4,219358659.39999998,0.4241455644329358,0.804801624451948
ID_MR_MRBDCV03,2024-08-01,ID,MRBDCV03,rwaji,141239155.6,390479636.0,574262517.4,780959272.0,249240480.4,206696754.60000002,0.3617068409682701,0.7353296618520716
ID_MR_MRBDD101,2024-08-01,ID,MRBDD101,epermatasari,108096576.0,264650992.0,307454660.0,526069328.0,156554416.0,218614668.0,0.4084495402155908,0.5844375325375366
ID_MR_MRBDD102,2024-08-01,ID,MRBDD102,drosyadi;tharyuwindo,67493069.0,206248736.0,263414043.0,403892352.0,138755667.0,140478309.0,0.32724112791653664,0.6521887371613315
ID_MR_MRBDDC01,2024-08-01,ID,MRBDDC01,nandhyani,37462325.0,186682420.0,310429249.0,371793188.0,149220095.0,61363939.0,0.20067409132579275,0.8349514165923879
ID_MR_MRBDDC02,2024-08-01,ID,MRBDDC02,rnapitupulu,78492494.0,403760496.0,421901942.0,804533184.0,325268002.0,382631242.0,0.19440360009860896,0.5244058920010937
ID_MR_MRBDDC03,2024-08-01,ID,MRBDDC03,tegustina,66393459.0,309261360.0,486337654.0,614084904.0,242867901.0,127747250.0,0.21468397797901426,0.7919713558045712
ID_MR_MRBDDP01,2024-08-01,ID,MRBDDP01,ifuryan,97471252.0,563046992.0,297845105.0,1094813576.0,465575740.0,796968471.0,0.17311388460450208,0.27205097884171653
ID_MR_MRBDDP02,2024-08-01,ID,MRBDDP02,esilitonga,31121333.0,157107096.0,170240039.0,311143000.0,125985763.0,140902961.0,0.19808992586814794,0.5471440430927259
ID_MR_MRBDJA01,2024-08-01,ID,MRBDJA01,kkurniawan,36487103.0,202831492.0,230931081.0,395677192.0,166344389.0,164746111.0,0.17988874725626927,0.5836350582471784
ID_MR_MRBDME01,2024-08-01,ID,MRBDME01,uemzaripin,57885659.3,172607658.0,233286749.55,337837932.0,114721998.7,104551182.44999999,0.33535973994850216,0.6905285862038725
ID_MR_MRBDME02,2024-08-01,ID,MRBDME02,irwsetiawan,10512378.5,212510112.0,338223348.8999999,416823120.0,201997733.5,78599771.10000008,0.049467662508219844,0.8114313546235149
